year,month,avg_price
2021,4,446.271
2021,5,524.004
2021,6,564.689
2021,7,755.049
2021,8,506.235
2021,9,549.951
2021,10,555.364
2021,11,308.695
2021,12,211.744
2022,1,367.168
2022,2,308.156
2022,3,516.996
2022,4,371.937
2022,5,616.022
2022,6,742.508
2022,7,838.135
2022,8,566.340
2022,9,535.086
2022,10,617.313
2022,11,493.115
2022,12,446.358
2023,1,467.400
2023,2,577.483
2023,3,612.138
2023,4,486.513
2023,5,874.536
2023,6,834.582
2023,7,796.029
2023,8,676.883
2023,9,661.071
2023,10,840.438
2023,11,840.928
2023,12,624.018
2024,1,619.326
2024,2,606.485
2024,3,774.511
2024,4,499.190
2024,5,485.628
2024,6,601.889
2024,7,919.974
2024,8,663.184
2024,9,535.665
2024,10,751.810
2024,11,587.599
2024,12,593.261
2025,1,400.103
2025,2,472.286
2025,3,729.558
2025,4,554.346
2025,5,803.052
2025,6,905.568
2025,7,768.114
2025,8,577.350
