YEAR,DOY,T2M,RH2M,PRECTOTCORR
2021,1,19.77,80.55,0.3
2021,2,20.56,83.78,0.82
2021,3,21.72,82.89,0.66
2021,4,21.7,81.17,0.27
2021,5,21.67,86.33,1
2021,6,22.17,86.5,12.86
2021,7,21.91,88.14,5.75
2021,8,22.73,85.62,0.86
2021,9,22.75,84.17,0.55
2021,10,22,84.22,0.11
2021,11,21.64,83.64,0.19
2021,12,20.59,85.22,0.8
2021,13,21.33,79.65,0.87
2021,14,21.27,81.64,1.25
2021,15,22.05,77.07,0.17
2021,16,21.98,74.71,0.01
2021,17,21.65,74.93,0
2021,18,20.85,73.33,0
2021,19,20.92,73.29,0
2021,20,21.94,71.33,0
2021,21,23.41,73.92,0.01
2021,22,23.59,73.46,0.07
2021,23,22.85,72.14,0.04
2021,24,22.14,69.62,0
2021,25,20.96,68.31,0
2021,26,20.7,63.25,0
2021,27,20.13,65.17,0
2021,28,20.85,69.47,0
2021,29,21.74,71.08,0
2021,30,22.53,65.58,0
2021,31,22.4,65.1,0.04
2021,32,21.33,62.85,0
2021,33,21.8,65.98,0
2021,34,22.15,69.52,0
2021,35,21.99,63.92,0
2021,36,21.72,63.25,0
2021,37,21.41,61.83,0
2021,38,20.97,53.5,0
2021,39,20.7,59.77,0
2021,40,20.66,61.74,0
2021,41,20.47,56.53,0
2021,42,20.76,58.91,0
2021,43,20.91,59.33,0
2021,44,21.19,59.39,0
2021,45,21.85,56.62,0
2021,46,22.94,56.19,0
2021,47,23.71,58.6,0
2021,48,23.63,57.02,0
2021,49,23.23,60.39,0
2021,50,23.16,62.62,4.23
2021,51,22.94,71.62,3.56
2021,52,22.14,74.26,2.83
2021,53,23.46,63.23,0.61
2021,54,24.51,60.78,0.06
2021,55,24.43,56.69,0
2021,56,25.29,53.59,0
2021,57,25.42,47.84,0
2021,58,25.97,45.33,0
2021,59,25.25,46.37,0
2021,60,24.93,47.13,0
2021,61,25.24,47.96,0
2021,62,24.95,43.8,0
2021,63,23.71,49.23,0
2021,64,24.46,45.87,0
2021,65,26.11,45.21,0
2021,66,26.05,48.05,0
2021,67,25.7,50.17,0
2021,68,26.15,49.13,0
2021,69,26.97,53.58,0.11
2021,70,27.01,53.24,0.75
2021,71,26.12,48.06,0.26
