YEAR,DOY,T2M,RH2M,PRECTOTCORR
2021,1,18.63,84.48,0.11
2021,2,19.38,86.1,0.04
2021,3,20.43,83.53,0.01
2021,4,20.58,82.97,0.03
2021,5,21,88.93,0.31
2021,6,21.52,88.32,22.84
2021,7,21.41,87.87,3.67
2021,8,21.89,85.82,0.33
2021,9,21.58,85.85,0.12
2021,10,21.06,86.89,0
2021,11,20.41,86.49,0
2021,12,20.11,85.39,0
2021,13,20.06,81.79,0.01
2021,14,19.5,83.84,0
2021,15,20.4,80.96,0.01
2021,16,20.88,76.31,0
2021,17,20.2,78.09,0
2021,18,19.4,80.03,0
2021,19,19.66,80.53,0
2021,20,20.45,76.2,0
2021,21,21.73,71.29,0
2021,22,21.86,77.1,0
2021,23,21,74.27,0
2021,24,20.23,71.57,0
2021,25,18.93,69.18,0
2021,26,18.85,65.33,0
2021,27,18.75,69.92,0
2021,28,19.62,74.56,0
2021,29,20.32,72.62,0
2021,30,21.15,69.38,0
2021,31,20.58,65.42,0
2021,32,19.57,68.06,0
2021,33,20.29,72.91,0
2021,34,20.53,72.39,0.01
2021,35,19.77,67.08,0
2021,36,19.55,66.31,0
2021,37,19.63,65.34,0
2021,38,19.19,57.74,0
2021,39,18.88,68.16,0
2021,40,18.72,69.24,0
2021,41,19.05,59.94,0
2021,42,19.26,62.04,0
2021,43,19.24,60.93,0
2021,44,19.39,59.67,0
2021,45,20.09,53.28,0
2021,46,20.77,58.11,0
2021,47,21.1,59.41,0
2021,48,21.36,60.15,0
2021,49,21,66.43,0.06
2021,50,21.12,69.34,3.66
2021,51,20.75,78.83,14.28
2021,52,20.61,78.35,1.74
2021,53,21.69,69.23,0.11
2021,54,22.88,62.35,0
2021,55,22.72,58.68,0
2021,56,23.22,55.01,0
2021,57,23.38,51.59,0
2021,58,23.77,51.56,0
2021,59,23.66,48.41,0
2021,60,23.14,48.91,0
2021,61,23.47,55.46,0
2021,62,23.4,48.68,0
2021,63,22.13,50.85,0
2021,64,22.52,50.29,0
2021,65,23.54,50.57,0
2021,66,24.04,51.25,0
2021,67,23.38,52.25,0
2021,68,23.55,52.15,0
2021,69,24.95,55.3,0
2021,70,25.8,54.19,0
2021,71,24.4,48.86,0
2021,72,24.14,47.82,0
2021,73,24.94,48.97,0
2021,74,25.38,44.89,0
2021,75,25.59,43.04,0
